time,heart_rate
2023-01-17T00:00:00Z,76
2023-01-17T00:01:00Z,68
2023-01-17T00:02:00Z,73
2023-01-17T00:03:00Z,80
2023-01-17T00:04:00Z,74
2023-01-17T00:05:00Z,79
2023-01-17T00:06:00Z,72
2023-01-17T00:07:00Z,87
2023-01-17T00:08:00Z,81
2023-01-17T00:09:00Z,69
2023-01-17T00:10:00Z,75
2023-01-17T00:11:00Z,84
2023-01-17T00:12:00Z,63
2023-01-17T00:13:00Z,64
2023-01-17T00:14:00Z,66
2023-01-17T00:15:00Z,64
2023-01-17T00:16:00Z,70
2023-01-17T00:17:00Z,81
2023-01-17T00:18:00Z,73
2023-01-17T00:19:00Z,76
2023-01-17T00:20:00Z,77
2023-01-17T00:21:00Z,60
2023-01-17T00:22:00Z,61
2023-01-17T00:23:00Z,68
2023-01-17T00:24:00Z,75
2023-01-17T06:00:00Z,87
2023-01-17T06:01:00Z,81
2023-01-17T06:02:00Z,76
2023-01-17T06:03:00Z,73
2023-01-17T06:04:00Z,73
2023-01-17T06:05:00Z,71
2023-01-17T06:06:00Z,72
2023-01-17T06:07:00Z,72
2023-01-17T06:08:00Z,74
2023-01-17T06:09:00Z,76
2023-01-17T06:10:00Z,78
2023-01-17T06:11:00Z,78
2023-01-17T06:12:00Z,75
2023-01-17T06:13:00Z,69
2023-01-17T06:14:00Z,60
2023-01-17T06:15:00Z,56
2023-01-17T06:16:00Z,53
2023-01-17T06:17:00Z,54
2023-01-17T06:18:00Z,57
2023-01-17T06:19:00Z,54
2023-01-17T06:20:00Z,55
2023-01-17T06:21:00Z,54
2023-01-17T06:22:00Z,59
2023-01-17T06:23:00Z,60
2023-01-17T06:24:00Z,58
2023-01-17T06:25:00Z,59
2023-01-17T06:26:00Z,57
2023-01-17T06:27:00Z,56
2023-01-17T06:28:00Z,56
2023-01-17T06:29:00Z,55
2023-01-17T06:30:00Z,55
2023-01-17T06:31:00Z,58
2023-01-17T06:32:00Z,55
2023-01-17T06:33:00Z,56
2023-01-17T06:34:00Z,54
2023-01-17T06:35:00Z,57
2023-01-17T06:36:00Z,54
2023-01-17T06:37:00Z,53
2023-01-17T06:38:00Z,57
2023-01-17T06:39:00Z,54
2023-01-17T06:40:00Z,54
2023-01-17T06:41:00Z,54
2023-01-17T06:42:00Z,55
2023-01-17T06:43:00Z,54
2023-01-17T06:44:00Z,54
2023-01-17T06:45:00Z,53
2023-01-17T06:46:00Z,53
2023-01-17T06:47:00Z,57
2023-01-17T06:48:00Z,63
2023-01-17T06:49:00Z,64
2023-01-17T06:50:00Z,58
2023-01-17T06:51:00Z,58
2023-01-17T06:52:00Z,52
2023-01-17T06:53:00Z,56
2023-01-17T06:54:00Z,57
2023-01-17T06:55:00Z,60
2023-01-17T06:56:00Z,71
2023-01-17T06:57:00Z,73
2023-01-17T06:58:00Z,66
2023-01-17T06:59:00Z,62
2023-01-17T07:00:00Z,62
2023-01-17T07:01:00Z,58
2023-01-17T07:02:00Z,54
2023-01-17T07:03:00Z,54
2023-01-17T07:04:00Z,52
2023-01-17T07:05:00Z,61
2023-01-17T07:06:00Z,63
2023-01-17T07:07:00Z,64
2023-01-17T07:08:00Z,83
2023-01-17T07:09:00Z,71
2023-01-17T07:10:00Z,73
2023-01-17T07:11:00Z,76
2023-01-17T07:12:00Z,78
2023-01-17T07:13:00Z,76
2023-01-17T07:14:00Z,74
2023-01-17T07:15:00Z,73
2023-01-17T07:16:00Z,66
2023-01-17T07:17:00Z,59
2023-01-17T07:18:00Z,60
2023-01-17T07:19:00Z,62
2023-01-17T07:20:00Z,63
2023-01-17T07:21:00Z,58
2023-01-17T07:22:00Z,72
2023-01-17T07:23:00Z,90
2023-01-17T07:24:00Z,79
2023-01-17T07:25:00Z,76
2023-01-17T07:26:00Z,65
2023-01-17T07:27:00Z,64
2023-01-17T07:28:00Z,68
2023-01-17T07:29:00Z,69
2023-01-17T07:30:00Z,71
2023-01-17T07:31:00Z,69
2023-01-17T07:32:00Z,69
2023-01-17T07:33:00Z,71
2023-01-17T07:34:00Z,69
