date,steps
2021-01-18,12838
2021-01-19,10826
2021-01-20,11052
2021-01-21,12304
2021-01-22,9067
2021-01-23,5008
2021-01-24,5936
2021-01-25,8994
2021-01-26,9242
2021-01-27,11000
2021-01-28,9561
2021-01-29,3299
2021-01-30,7437
2021-01-31,6313
2021-02-01,6829
2021-02-02,9750
2021-02-03,7368
2021-02-04,6848
2021-02-05,3276
2021-02-06,6513
2021-02-07,5917
2021-02-08,9006
2021-02-09,9859
2021-02-10,11307
2021-02-11,6187
2021-02-12,3598
2021-02-13,7596
2021-02-14,3472
2021-02-15,9205
2021-02-16,9479
2021-02-17,10023
2021-02-18,4704
2021-02-19,4832
2021-02-20,4779
2021-02-21,2641
2021-02-22,6666
2021-02-23,7745
2021-02-24,9884
2021-02-25,9453
2021-02-26,8991
2021-02-27,10759
2021-02-28,3084
2021-03-01,3661
2021-03-02,10009
2021-03-03,11076
2021-03-04,9322
2021-03-05,5024
2021-03-06,7220
2021-03-07,2703
2021-03-08,2973
2021-03-09,13304
2021-03-10,11641
2021-03-11,10716
2021-03-12,9039
2021-03-13,7488
2021-03-14,6646
2021-03-15,4273
2021-03-16,3354
2021-03-17,9372
2021-03-18,10746
2021-03-19,13630
2021-03-20,4560
2021-03-21,6742
2021-03-22,11915
2021-03-23,11861
2021-03-24,5579
2021-03-25,11550
2021-03-26,11633
2021-03-27,7199
2021-03-28,5198
2021-03-29,11456
2021-03-30,11479
2021-03-31,10315
2021-04-01,9973
2021-04-02,9556
2021-04-03,8358
2021-04-04,7668
2021-04-05,12096
2021-04-06,17671
2021-04-07,10903
2021-04-08,10012
2021-04-09,9387
2021-04-10,5586
2021-04-11,2761
2021-04-12,3079
2021-04-13,17215
2021-04-14,10799
2021-04-15,11928
2021-04-16,10610
2021-04-17,4936
2021-04-18,6369
2021-04-19,10632
2021-04-20,14676
2021-04-21,9700
2021-04-22,9666
2021-04-23,6150
2021-04-24,11532
2021-04-25,3172
2021-04-26,13558
2021-04-27,14756
2021-04-28,18074
2021-04-29,9817
2021-04-30,13561
2021-05-01,12464
2021-05-02,16796
2021-05-03,17142
2021-05-04,17735
2021-05-05,11329
2021-05-06,9409
2021-05-07,7572
2021-05-08,6657
2021-05-09,5322
2021-05-10,11445
2021-05-11,11643
2021-05-12,6480
2021-05-13,12093
2021-05-14,16622
2021-05-15,5938
2021-05-16,4446
2021-05-17,12749
2021-05-18,10644
2021-05-19,13394
2021-05-20,12504
2021-05-21,9727
2021-05-22,8435
2021-05-23,5403
2021-05-24,8972
2021-05-25,12314
2021-05-26,14812
2021-05-27,14621
2021-05-28,8408
2021-05-29,8823
2021-05-30,3740
2021-05-31,15058
2021-06-01,15288
2021-06-02,11082
2021-06-03,11629
2021-06-04,12619
2021-06-05,15325
2021-06-06,5589
2021-06-07,12026
2021-06-08,12317
2021-06-09,8727
2021-06-10,20119
2021-06-11,6565
2021-06-12,5907
2021-06-13,7555
2021-06-14,13213
2021-06-15,22148
2021-06-16,11710
2021-06-17,15530
2021-06-18,12768
2021-06-19,10632
2021-06-20,17386
2021-06-21,4318
2021-06-22,4293
2021-06-23,15843
2021-06-24,12984
2021-06-25,15434
2021-06-26,13331
2021-06-27,10365
2021-06-28,8465
2021-06-29,8558
2021-06-30,7558
2021-07-01,12108
2021-07-02,9449
2021-07-03,8989
2021-07-04,5715
2021-07-05,3741
2021-07-06,10795
2021-07-07,7114
2021-07-08,3038
2021-07-09,4988
2021-07-10,3064
2021-07-11,4786
2021-07-12,16397
2021-07-13,14090
2021-07-14,12377
2021-07-15,12824
2021-07-16,6543
2021-07-17,7963
2021-07-18,4690
2021-07-19,15207
2021-07-20,14149
2021-07-21,19545
2021-07-22,9708
2021-07-23,11692
2021-07-24,12199
2021-07-25,11987
2021-07-26,6536
2021-07-27,7501
2021-07-28,11103
2021-07-29,10761
2021-07-30,8381
2021-07-31,7969
2021-08-01,3070
2021-08-02,11688
2021-08-03,10565
2021-08-04,11411
2021-08-05,10242
2021-08-06,11926
2021-08-07,12241
2021-08-08,6642
2021-08-09,12027
2021-08-10,12980
2021-08-11,13934
2021-08-12,13274
2021-08-13,14352
2021-08-14,5640
2021-08-15,7002
2021-08-16,2694
2021-08-17,14261
2021-08-18,12141
2021-08-19,11907
2021-08-20,9765
2021-08-21,8296
2021-08-22,5140
2021-08-23,11074
2021-08-24,12463
2021-08-25,16330
2021-08-26,10750
2021-08-27,11294
2021-08-28,11451
2021-08-29,6612
2021-08-30,12792
2021-08-31,10695
2021-09-01,6310
2021-09-02,3917
2021-09-03,7012
2021-09-04,4253
2021-09-05,2534
2021-09-06,4329
2021-09-07,3210
2021-09-08,3147
2021-09-09,4435
2021-09-10,2750
2021-09-11,10023
2021-09-12,3513
2021-09-13,4043
2021-09-14,3458
2021-09-15,4053
2021-09-16,4864
2021-09-17,5441
2021-09-18,13381
2021-09-19,12419
2021-09-20,5702
2021-09-21,3820
2021-09-22,4919
2021-09-23,4664
2021-09-24,7802
2021-09-25,12726
2021-09-26,4893
2021-09-27,10595
2021-09-28,7096
2021-09-29,11907
2021-09-30,13169
2021-10-01,16550
2021-10-02,9003
2021-10-03,4526
2021-10-04,5776
2021-10-05,8277
2021-10-06,6426
2021-10-07,8697
2021-10-08,6681
2021-10-09,8633
2021-10-10,10895
2021-10-11,10907
2021-10-12,12256
2021-10-13,15055
2021-10-14,10823
2021-10-15,8019
2021-10-16,4883
2021-10-17,6962
2021-10-18,5179
2021-10-19,7725
2021-10-20,4165
2021-10-21,10961
2021-10-22,7433
2021-10-23,10087
2021-10-24,4959
2021-10-25,7280
2021-10-26,13840
2021-10-27,11731
2021-10-28,8760
2021-10-29,8088
2021-10-30,4520
2021-10-31,8244
2021-11-01,9756
2021-11-02,7294
2021-11-03,9273
2021-11-04,5324
2021-11-05,9375
2021-11-06,9756
2021-11-07,9493
2021-11-08,4336
2021-11-09,10842
2021-11-10,13402
2021-11-11,9512
2021-11-12,10421
2021-11-13,7772
2021-11-14,6237
2021-11-15,5988
2021-11-16,6926
2021-11-17,8070
2021-11-18,10623
2021-11-19,9661
2021-11-20,19449
2021-11-21,11271
2021-11-22,7692
2021-11-23,6528
2021-11-24,13361
2021-11-25,9185
2021-11-26,14107
2021-11-27,13688
2021-11-28,6204
2021-11-29,10520
2021-11-30,11236
2021-12-01,5813
2021-12-02,9007
2021-12-03,8318
2021-12-04,4088
2021-12-05,3657
2021-12-06,7240
2021-12-07,11934
2021-12-08,6323
